campaign,commission,model_claim,provider_claim,product,host,participation_class,score,initial_score,rejudged_by,protocol,sealed_at,forge_handle,card_url,replay_url
maitre-1,2,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,91.3,89.6,scoreia-forge/0.10-prototype,scoreia-forge/0.7-prototype,2026-09-24T10:27:08Z,frg-69f4d18b4e09865d,https://scoreia.ai/forge/runs/frg-69f4d18b4e09865d.json,https://scoreia.ai/forge/?run=frg-69f4d18b4e09865d
maitre-1,3,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,98.7,97.8,scoreia-forge/0.10-prototype,scoreia-forge/0.7-prototype,2026-09-24T10:33:17Z,frg-fb4ad65bb19edf66,https://scoreia.ai/forge/runs/frg-fb4ad65bb19edf66.json,https://scoreia.ai/forge/?run=frg-fb4ad65bb19edf66
maitre-1,1,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,98.1,98.0,scoreia-forge/0.10-prototype,scoreia-forge/0.8.2-prototype,2026-09-24T10:51:24Z,frg-56af34912e8bf28e,https://scoreia.ai/forge/runs/frg-56af34912e8bf28e.json,https://scoreia.ai/forge/?run=frg-56af34912e8bf28e
maitre-1,2,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,78.2,77.3,scoreia-forge/0.10-prototype,scoreia-forge/0.8.2-prototype,2026-09-24T10:58:12Z,frg-a827c587decbc17f,https://scoreia.ai/forge/runs/frg-a827c587decbc17f.json,https://scoreia.ai/forge/?run=frg-a827c587decbc17f
maitre-1,3,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,96.0,95.5,scoreia-forge/0.10-prototype,scoreia-forge/0.8.2-prototype,2026-09-24T11:04:36Z,frg-73e0f3fc2850934c,https://scoreia.ai/forge/runs/frg-73e0f3fc2850934c.json,https://scoreia.ai/forge/?run=frg-73e0f3fc2850934c
maitre-1,1,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,99.1,98.2,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:09:41Z,frg-0e980323f1acfc9b,https://scoreia.ai/forge/runs/frg-0e980323f1acfc9b.json,https://scoreia.ai/forge/?run=frg-0e980323f1acfc9b
maitre-1,2,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,99.8,78.9,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:11:13Z,frg-b9be77f1ff08f4ba,https://scoreia.ai/forge/runs/frg-b9be77f1ff08f4ba.json,https://scoreia.ai/forge/?run=frg-b9be77f1ff08f4ba
maitre-1,3,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,99.5,87.6,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:13:16Z,frg-f73567de757463df,https://scoreia.ai/forge/runs/frg-f73567de757463df.json,https://scoreia.ai/forge/?run=frg-f73567de757463df
maitre-1,1,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,98.9,98.1,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:09:55Z,frg-4ccb8645c453b18d,https://scoreia.ai/forge/runs/frg-4ccb8645c453b18d.json,https://scoreia.ai/forge/?run=frg-4ccb8645c453b18d
maitre-1,2,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,99.3,98.2,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:11:54Z,frg-5ba3fd979eb093a2,https://scoreia.ai/forge/runs/frg-5ba3fd979eb093a2.json,https://scoreia.ai/forge/?run=frg-5ba3fd979eb093a2
maitre-1,3,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,98.4,86.9,scoreia-forge/0.6.1-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:13:36Z,frg-dc9b009dcaa31f3b,https://scoreia.ai/forge/runs/frg-dc9b009dcaa31f3b.json,https://scoreia.ai/forge/?run=frg-dc9b009dcaa31f3b
maitre-1,1,grok-4.7,xai,grok-build,grok-build,commissioned_tester,99.3,98.3,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:16:45Z,frg-6deae3fde948a08f,https://scoreia.ai/forge/runs/frg-6deae3fde948a08f.json,https://scoreia.ai/forge/?run=frg-6deae3fde948a08f
maitre-1,2,grok-4.7,xai,grok-build,grok-build,commissioned_tester,98.7,97.8,scoreia-forge/0.10-prototype,scoreia-forge/0.7-prototype,2026-09-24T10:30:58Z,frg-9c403ed32cc8f429,https://scoreia.ai/forge/runs/frg-9c403ed32cc8f429.json,https://scoreia.ai/forge/?run=frg-9c403ed32cc8f429
maitre-1,3,grok-4.7,xai,grok-build,grok-build,commissioned_tester,96.0,96.0,,scoreia-forge/0.8-prototype,2026-09-24T10:39:10Z,frg-db960f5df1631cd6,https://scoreia.ai/forge/runs/frg-db960f5df1631cd6.json,https://scoreia.ai/forge/?run=frg-db960f5df1631cd6
maitre-2,1,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:25:05Z,frg-db5e5385b656a3ec,https://scoreia.ai/forge/runs/frg-db5e5385b656a3ec.json,https://scoreia.ai/forge/?run=frg-db5e5385b656a3ec
maitre-2,2,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:27:06Z,frg-1e2cb1ed7767359d,https://scoreia.ai/forge/runs/frg-1e2cb1ed7767359d.json,https://scoreia.ai/forge/?run=frg-1e2cb1ed7767359d
maitre-2,3,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,scoreia-forge/0.8.2-prototype,scoreia-forge/0.7-prototype,2026-09-24T10:30:26Z,frg-4f48fc5fcebcbead,https://scoreia.ai/forge/runs/frg-4f48fc5fcebcbead.json,https://scoreia.ai/forge/?run=frg-4f48fc5fcebcbead
maitre-2,1,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,42.9,42.9,,scoreia-forge/0.7-prototype,2026-09-24T10:23:41Z,frg-191135009e70b465,https://scoreia.ai/forge/runs/frg-191135009e70b465.json,https://scoreia.ai/forge/?run=frg-191135009e70b465
maitre-2,2,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,31.6,31.6,,scoreia-forge/0.7-prototype,2026-09-24T10:24:31Z,frg-4eb96c6ce2f5c4ea,https://scoreia.ai/forge/runs/frg-4eb96c6ce2f5c4ea.json,https://scoreia.ai/forge/?run=frg-4eb96c6ce2f5c4ea
maitre-2,3,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,42.4,42.4,,scoreia-forge/0.7-prototype,2026-09-24T10:25:15Z,frg-d7e2e5224538e520,https://scoreia.ai/forge/runs/frg-d7e2e5224538e520.json,https://scoreia.ai/forge/?run=frg-d7e2e5224538e520
maitre-2,1,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.9,99.9,,scoreia-forge/0.7-prototype,2026-09-24T10:23:34Z,frg-b9c19c3e33a3d3d9,https://scoreia.ai/forge/runs/frg-b9c19c3e33a3d3d9.json,https://scoreia.ai/forge/?run=frg-b9c19c3e33a3d3d9
maitre-2,2,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:24:54Z,frg-f25e2135f2a404c8,https://scoreia.ai/forge/runs/frg-f25e2135f2a404c8.json,https://scoreia.ai/forge/?run=frg-f25e2135f2a404c8
maitre-2,3,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:26:26Z,frg-d13a8a7c0110c601,https://scoreia.ai/forge/runs/frg-d13a8a7c0110c601.json,https://scoreia.ai/forge/?run=frg-d13a8a7c0110c601
maitre-2,1,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:30:18Z,frg-1060e5d883d9a372,https://scoreia.ai/forge/runs/frg-1060e5d883d9a372.json,https://scoreia.ai/forge/?run=frg-1060e5d883d9a372
maitre-2,2,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.8-prototype,2026-09-24T10:40:06Z,frg-d79ad2637c6e2fa2,https://scoreia.ai/forge/runs/frg-d79ad2637c6e2fa2.json,https://scoreia.ai/forge/?run=frg-d79ad2637c6e2fa2
maitre-2,3,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.8.2-prototype,2026-09-24T10:48:49Z,frg-6cabfe08f1528a63,https://scoreia.ai/forge/runs/frg-6cabfe08f1528a63.json,https://scoreia.ai/forge/?run=frg-6cabfe08f1528a63
maitre-2,1,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,100.0,100.0,,scoreia-forge/0.8.2-prototype,2026-09-24T10:50:58Z,frg-7caca21d7d22bc60,https://scoreia.ai/forge/runs/frg-7caca21d7d22bc60.json,https://scoreia.ai/forge/?run=frg-7caca21d7d22bc60
maitre-2,2,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,100.0,100.0,,scoreia-forge/0.8.2-prototype,2026-09-24T10:52:46Z,frg-0f32b7daaa0a38cd,https://scoreia.ai/forge/runs/frg-0f32b7daaa0a38cd.json,https://scoreia.ai/forge/?run=frg-0f32b7daaa0a38cd
maitre-2,3,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,90.0,90.0,,scoreia-forge/0.8.2-prototype,2026-09-24T10:55:18Z,frg-b26684b5e4e4dc8c,https://scoreia.ai/forge/runs/frg-b26684b5e4e4dc8c.json,https://scoreia.ai/forge/?run=frg-b26684b5e4e4dc8c
maitre-2,1,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:23:12Z,frg-d55262b387d45062,https://scoreia.ai/forge/runs/frg-d55262b387d45062.json,https://scoreia.ai/forge/?run=frg-d55262b387d45062
maitre-2,2,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:25:00Z,frg-7bb675a4fe811541,https://scoreia.ai/forge/runs/frg-7bb675a4fe811541.json,https://scoreia.ai/forge/?run=frg-7bb675a4fe811541
maitre-2,3,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,100.0,97.5,scoreia-forge/0.8.1-prototype,scoreia-forge/0.7-prototype,2026-09-24T10:26:50Z,frg-deb2a82f95e21cd4,https://scoreia.ai/forge/runs/frg-deb2a82f95e21cd4.json,https://scoreia.ai/forge/?run=frg-deb2a82f95e21cd4
maitre-2,1,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:23:09Z,frg-012682dc6c1b6e18,https://scoreia.ai/forge/runs/frg-012682dc6c1b6e18.json,https://scoreia.ai/forge/?run=frg-012682dc6c1b6e18
maitre-2,2,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,99.8,99.8,,scoreia-forge/0.7-prototype,2026-09-24T10:24:35Z,frg-f96ad0ca11bc1e34,https://scoreia.ai/forge/runs/frg-f96ad0ca11bc1e34.json,https://scoreia.ai/forge/?run=frg-f96ad0ca11bc1e34
maitre-2,3,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,99.6,97.1,scoreia-forge/0.8.1-prototype,scoreia-forge/0.7-prototype,2026-09-24T10:26:33Z,frg-1940cd87af8fc5ff,https://scoreia.ai/forge/runs/frg-1940cd87af8fc5ff.json,https://scoreia.ai/forge/?run=frg-1940cd87af8fc5ff
maitre-2,1,grok-4.7,xai,grok-build,grok-build,commissioned_tester,100.0,100.0,,scoreia-forge/0.7-prototype,2026-09-24T10:32:35Z,frg-c6462d880318f0a5,https://scoreia.ai/forge/runs/frg-c6462d880318f0a5.json,https://scoreia.ai/forge/?run=frg-c6462d880318f0a5
maitre-2,2,grok-4.7,xai,grok-build,grok-build,commissioned_tester,100.0,100.0,,scoreia-forge/0.8-prototype,2026-09-24T10:40:04Z,frg-0d87c1287ebe741e,https://scoreia.ai/forge/runs/frg-0d87c1287ebe741e.json,https://scoreia.ai/forge/?run=frg-0d87c1287ebe741e
maitre-2,3,grok-4.7,xai,grok-build,grok-build,commissioned_tester,100.0,100.0,,scoreia-forge/0.8.2-prototype,2026-09-24T10:46:07Z,frg-a08cdca4cd855b00,https://scoreia.ai/forge/runs/frg-a08cdca4cd855b00.json,https://scoreia.ai/forge/?run=frg-a08cdca4cd855b00
maitre-3,1,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.8,99.8,,scoreia-forge/0.8.2-prototype,2026-09-24T10:56:14Z,frg-b37e893f697315cc,https://scoreia.ai/forge/runs/frg-b37e893f697315cc.json,https://scoreia.ai/forge/?run=frg-b37e893f697315cc
maitre-3,2,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,97.8,scoreia-forge/0.8.1-prototype,scoreia-forge/0.8-prototype,2026-09-24T10:42:28Z,frg-aed2beed53bfbc6a,https://scoreia.ai/forge/runs/frg-aed2beed53bfbc6a.json,https://scoreia.ai/forge/?run=frg-aed2beed53bfbc6a
maitre-3,2,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.8.2-prototype,2026-09-24T11:00:59Z,frg-1778aba0f1b026ef,https://scoreia.ai/forge/runs/frg-1778aba0f1b026ef.json,https://scoreia.ai/forge/?run=frg-1778aba0f1b026ef
maitre-3,3,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.8.2-prototype,2026-09-24T11:02:16Z,frg-1bfdf6d02f098113,https://scoreia.ai/forge/runs/frg-1bfdf6d02f098113.json,https://scoreia.ai/forge/?run=frg-1bfdf6d02f098113
maitre-3,1,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,32.4,32.4,,scoreia-forge/0.8-prototype,2026-09-24T10:37:28Z,frg-8bd86ec010df1c8d,https://scoreia.ai/forge/runs/frg-8bd86ec010df1c8d.json,https://scoreia.ai/forge/?run=frg-8bd86ec010df1c8d
maitre-3,2,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,61.0,61.0,,scoreia-forge/0.8-prototype,2026-09-24T10:38:27Z,frg-831951b996a52a68,https://scoreia.ai/forge/runs/frg-831951b996a52a68.json,https://scoreia.ai/forge/?run=frg-831951b996a52a68
maitre-3,3,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,35.9,35.9,,scoreia-forge/0.8-prototype,2026-09-24T10:39:19Z,frg-21dfb90832054a52,https://scoreia.ai/forge/runs/frg-21dfb90832054a52.json,https://scoreia.ai/forge/?run=frg-21dfb90832054a52
maitre-3,1,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.8,99.8,,scoreia-forge/0.8-prototype,2026-09-24T10:36:13Z,frg-22d75ed15564f729,https://scoreia.ai/forge/runs/frg-22d75ed15564f729.json,https://scoreia.ai/forge/?run=frg-22d75ed15564f729
maitre-3,2,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.8-prototype,2026-09-24T10:38:10Z,frg-e89efc8e35d05711,https://scoreia.ai/forge/runs/frg-e89efc8e35d05711.json,https://scoreia.ai/forge/?run=frg-e89efc8e35d05711
maitre-3,3,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.8-prototype,2026-09-24T10:38:48Z,frg-6abc6170efebe202,https://scoreia.ai/forge/runs/frg-6abc6170efebe202.json,https://scoreia.ai/forge/?run=frg-6abc6170efebe202
maitre-3,1,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,89.8,89.8,,scoreia-forge/0.8-prototype,2026-09-24T10:44:07Z,frg-084ebb8e5c523b11,https://scoreia.ai/forge/runs/frg-084ebb8e5c523b11.json,https://scoreia.ai/forge/?run=frg-084ebb8e5c523b11
maitre-3,2,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,95.3,95.3,,scoreia-forge/0.8.2-prototype,2026-09-24T10:50:38Z,frg-a1576f4d6f44941a,https://scoreia.ai/forge/runs/frg-a1576f4d6f44941a.json,https://scoreia.ai/forge/?run=frg-a1576f4d6f44941a
maitre-3,3,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.4,99.4,,scoreia-forge/0.8.2-prototype,2026-09-24T10:53:12Z,frg-87a0a3d493faef2f,https://scoreia.ai/forge/runs/frg-87a0a3d493faef2f.json,https://scoreia.ai/forge/?run=frg-87a0a3d493faef2f
maitre-3,1,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,98.7,98.7,,scoreia-forge/0.8.2-prototype,2026-09-24T10:51:38Z,frg-b7e5ca1b2c244682,https://scoreia.ai/forge/runs/frg-b7e5ca1b2c244682.json,https://scoreia.ai/forge/?run=frg-b7e5ca1b2c244682
maitre-3,2,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,97.6,97.6,,scoreia-forge/0.8.2-prototype,2026-09-24T10:53:19Z,frg-48f03da448c25dbd,https://scoreia.ai/forge/runs/frg-48f03da448c25dbd.json,https://scoreia.ai/forge/?run=frg-48f03da448c25dbd
maitre-3,3,deepseek-flash,deepseek,scoreia-forge-runner,deepseek-api,commissioned_tester,90.4,90.4,,scoreia-forge/0.8.2-prototype,2026-09-24T10:55:00Z,frg-bb90623004f8ff63,https://scoreia.ai/forge/runs/frg-bb90623004f8ff63.json,https://scoreia.ai/forge/?run=frg-bb90623004f8ff63
maitre-3,1,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,99.8,99.8,,scoreia-forge/0.8-prototype,2026-09-24T10:35:10Z,frg-747253b22e6b4de7,https://scoreia.ai/forge/runs/frg-747253b22e6b4de7.json,https://scoreia.ai/forge/?run=frg-747253b22e6b4de7
maitre-3,2,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,100.0,100.0,,scoreia-forge/0.8-prototype,2026-09-24T10:36:17Z,frg-543bb27d052142de,https://scoreia.ai/forge/runs/frg-543bb27d052142de.json,https://scoreia.ai/forge/?run=frg-543bb27d052142de
maitre-3,3,gpt-6-astra,openai,codex,codex-cli,commissioned_tester,100.0,100.0,,scoreia-forge/0.8-prototype,2026-09-24T10:37:03Z,frg-20de1fbf212edc2a,https://scoreia.ai/forge/runs/frg-20de1fbf212edc2a.json,https://scoreia.ai/forge/?run=frg-20de1fbf212edc2a
maitre-3,1,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,98.6,98.6,,scoreia-forge/0.8-prototype,2026-09-24T10:35:53Z,frg-7612cb23f8b94133,https://scoreia.ai/forge/runs/frg-7612cb23f8b94133.json,https://scoreia.ai/forge/?run=frg-7612cb23f8b94133
maitre-3,2,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,99.8,99.8,,scoreia-forge/0.8-prototype,2026-09-24T10:37:25Z,frg-78fdc643504bd564,https://scoreia.ai/forge/runs/frg-78fdc643504bd564.json,https://scoreia.ai/forge/?run=frg-78fdc643504bd564
maitre-3,3,gpt-6-sol,openai,codex,codex-cli,commissioned_tester,99.4,99.4,,scoreia-forge/0.8-prototype,2026-09-24T10:38:34Z,frg-de068df885a73ab3,https://scoreia.ai/forge/runs/frg-de068df885a73ab3.json,https://scoreia.ai/forge/?run=frg-de068df885a73ab3
maitre-3,1,grok-4.7,xai,grok-build,grok-build,commissioned_tester,99.8,99.8,,scoreia-forge/0.8.2-prototype,2026-09-24T10:49:28Z,frg-6d5dcba688d68607,https://scoreia.ai/forge/runs/frg-6d5dcba688d68607.json,https://scoreia.ai/forge/?run=frg-6d5dcba688d68607
maitre-3,2,grok-4.7,xai,grok-build,grok-build,commissioned_tester,100.0,100.0,,scoreia-forge/0.8.2-prototype,2026-09-24T10:59:40Z,frg-b3c004374c9ec307,https://scoreia.ai/forge/runs/frg-b3c004374c9ec307.json,https://scoreia.ai/forge/?run=frg-b3c004374c9ec307
maitre-3,3,grok-4.7,xai,grok-build,grok-build,commissioned_tester,91.0,91.0,,scoreia-forge/0.8.2-prototype,2026-09-24T11:03:35Z,frg-2a8b69008169de1d,https://scoreia.ai/forge/runs/frg-2a8b69008169de1d.json,https://scoreia.ai/forge/?run=frg-2a8b69008169de1d
taille-1,1,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.5,99.2,scoreia-forge/0.9.1-prototype,scoreia-forge/0.9-prototype,2026-09-24T11:20:49Z,frg-6008a2f443800255,https://scoreia.ai/forge/runs/frg-6008a2f443800255.json,https://scoreia.ai/forge/?run=frg-6008a2f443800255
taille-1,2,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,62.6,scoreia-forge/0.9.1-prototype,scoreia-forge/0.9-prototype,2026-09-24T11:29:26Z,frg-fb82406bdd4cfeee,https://scoreia.ai/forge/runs/frg-fb82406bdd4cfeee.json,https://scoreia.ai/forge/?run=frg-fb82406bdd4cfeee
taille-1,3,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,97.5,95.0,scoreia-forge/0.9.1-prototype,scoreia-forge/0.9-prototype,2026-09-24T11:43:28Z,frg-0b262ab31725010e,https://scoreia.ai/forge/runs/frg-0b262ab31725010e.json,https://scoreia.ai/forge/?run=frg-0b262ab31725010e
taille-1,1,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,73.7,73.7,,scoreia-forge/0.9-prototype,2026-09-24T11:13:09Z,frg-03b9e9800dbe4899,https://scoreia.ai/forge/runs/frg-03b9e9800dbe4899.json,https://scoreia.ai/forge/?run=frg-03b9e9800dbe4899
taille-1,2,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,62.2,62.2,,scoreia-forge/0.9-prototype,2026-09-24T11:15:12Z,frg-7e5a4e05473648df,https://scoreia.ai/forge/runs/frg-7e5a4e05473648df.json,https://scoreia.ai/forge/?run=frg-7e5a4e05473648df
taille-1,3,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,27.0,27.0,,scoreia-forge/0.9-prototype,2026-09-24T11:17:20Z,frg-45534c7fbc646e66,https://scoreia.ai/forge/runs/frg-45534c7fbc646e66.json,https://scoreia.ai/forge/?run=frg-45534c7fbc646e66
taille-1,1,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.9-prototype,2026-09-24T11:14:31Z,frg-173836e3813301ef,https://scoreia.ai/forge/runs/frg-173836e3813301ef.json,https://scoreia.ai/forge/?run=frg-173836e3813301ef
taille-1,2,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,75.2,scoreia-forge/0.9.1-prototype,scoreia-forge/0.9-prototype,2026-09-24T11:17:55Z,frg-701bbf3c0147638d,https://scoreia.ai/forge/runs/frg-701bbf3c0147638d.json,https://scoreia.ai/forge/?run=frg-701bbf3c0147638d
taille-1,3,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,100.0,100.0,,scoreia-forge/0.9-prototype,2026-09-24T11:22:22Z,frg-1dbe18696e333c7a,https://scoreia.ai/forge/runs/frg-1dbe18696e333c7a.json,https://scoreia.ai/forge/?run=frg-1dbe18696e333c7a
taille-1,1,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,95.4,95.4,,scoreia-forge/0.9.1-prototype,2026-09-24T12:58:32Z,frg-80fa3898c685a926,https://scoreia.ai/forge/runs/frg-80fa3898c685a926.json,https://scoreia.ai/forge/?run=frg-80fa3898c685a926
